image,kernel,alpha,ssim,psnr,metric,fitness,noisy,enhanced,initial_ssim,initial_psnr,improvement_ssim,improvement_psnr,processing_time,generations_converged
145059,5,0.4422142798087396,0.7210925945709734,25.299315172640313,combined,0.6565607072355233,results/145059_noisy.png,results/145059_enhanced.png,0.5186683007492201,20.45113045589558,0.2024242938217533,4.848184716744733,1.6087250709533691,5
145079,5,0.3757099040037716,0.6817251985216788,24.56994634215494,combined,0.6246273170181047,results/145079_noisy.png,results/145079_enhanced.png,0.5313393778779814,20.724260543809528,0.15038582064369743,3.8456857983454107,1.5630228519439697,5
146074,7,0.7678833492789383,0.6666777481163318,23.82464864769281,combined,0.6096223155675891,results/146074_noisy.png,results/146074_enhanced.png,0.39336019148853185,20.41087459295639,0.2733175566278,3.4137740547364217,1.69317626953125,5
147077,3,0.85,0.7012965261035449,25.82899430215353,combined,0.6458815340854025,results/147077_noisy.png,results/147077_enhanced.png,0.47062225978180366,20.634357853192427,0.2306742663217412,5.194636448961102,1.649878978729248,5
147080,5,0.45722754926899545,0.7179741600354957,25.220194222749598,combined,0.6539030773613446,results/147080_noisy.png,results/147080_enhanced.png,0.5325538526055281,20.63582585635444,0.18542030742996762,4.584368366395157,1.6841044425964355,5
15011,3,0.7058913428844589,0.6627104447630361,26.613335745040978,combined,0.6235773258043711,results/15011_noisy.png,results/15011_enhanced.png,0.39490557316441816,20.48164287374258,0.26780487159861793,6.131692871298398,1.1805083751678467,5
15062,7,0.4783831624225747,0.6669449385965636,24.986566915841756,combined,0.616780858512645,results/15062_noisy.png,results/15062_enhanced.png,0.4720048739801201,20.511495344979625,0.19494006461644348,4.475071570862131,1.3181171417236328,5
156054,7,0.5223289947202685,0.6225600566987638,25.809874301458898,combined,0.590651285497888,results/156054_noisy.png,results/156054_enhanced.png,0.3821659797284512,20.327726019882366,0.24039407697031262,5.4821482815765314,1.5743622779846191,5
157032,5,0.8381594219451783,0.6289516694379971,28.00269434991924,combined,0.6082823347061133,results/157032_noisy.png,results/157032_enhanced.png,0.2368522032150822,20.2200091267067,0.39209946622291486,7.782685223212539,1.578841209411621,5
157087,3,0.7532927018398582,0.7135431613095417,25.896588612885285,combined,0.6548597445939908,results/157087_noisy.png,results/157087_enhanced.png,0.4769847109079105,20.73055949164602,0.23655845040163115,5.166029121239266,1.6162540912628174,5
159002,7,0.4451328342232045,0.7106912079694169,26.545619443035168,combined,0.6567575622368027,results/159002_noisy.png,results/159002_enhanced.png,0.42733915346751633,20.99816138772367,0.28335205450190054,5.547458055311498,1.2834899425506592,5
159022,7,0.6454223877796909,0.6163481330443299,26.53686300465449,combined,0.5906648711589578,results/159022_noisy.png,results/159022_enhanced.png,0.2521295445505897,20.4458977539778,0.36421858849374017,6.090965250676689,1.2310335636138916,5
160006,7,0.5095709438944341,0.6731738705190411,25.712206597159547,combined,0.625494948946286,results/160006_noisy.png,results/160006_enhanced.png,0.37065407629784924,20.42724605021775,0.30251979422119185,5.284960546941797,1.1112635135650635,5
16004,5,0.7533150349841771,0.7442614698206382,25.827718028410068,combined,0.6759493370449071,results/16004_noisy.png,results/16004_enhanced.png,0.4387493128213809,20.426354237952683,0.3055121569992573,5.401363790457385,1.413282871246338,5
160067,7,0.7461862119496864,0.6916585570101923,24.96892983602915,combined,0.6339745689233095,results/160067_noisy.png,results/160067_enhanced.png,0.3803066006764707,20.226497184866098,0.3113519563337216,4.742432651163053,1.5183367729187012,5
16068,5,0.85,0.7006279951045844,24.21655753316724,combined,0.6357389417722126,results/16068_noisy.png,results/16068_enhanced.png,0.44392404718503775,20.257077243152782,0.25670394791954665,3.959480290014458,1.4577248096466064,5
161045,7,0.85,0.6059262025048799,27.788150227895944,combined,0.5908772431207916,results/161045_noisy.png,results/161045_enhanced.png,0.2683821000103259,20.226988576159158,0.337544102494554,7.561161651736786,1.5761477947235107,5
163004,7,0.85,0.7047772591740863,24.540239403100923,combined,0.6405855178404659,results/163004_noisy.png,results/163004_enhanced.png,0.4253169423435363,21.166839273819228,0.27946031683055,3.373400129281695,1.415337324142456,5
163096,5,0.5325504945845484,0.6645134244333539,25.847530572062002,combined,0.6202445805357197,results/163096_noisy.png,results/163096_enhanced.png,0.46162268873744816,20.611284192012157,0.20289073569590577,5.236246380049845,1.6287906169891357,5
164046,5,0.6365854767226287,0.6215861298724927,27.170776368746953,combined,0.5981349491232266,results/164046_noisy.png,results/164046_enhanced.png,0.33366861728526315,20.213088079454575,0.2879175125872296,6.957688289292378,1.6651279926300049,5
168084,3,0.5149630325328243,0.5202676088140387,25.61103203939979,combined,0.5178535184062257,results/168084_noisy.png,results/168084_enhanced.png,0.28642560284260093,20.2507428113598,0.23384200597143773,5.360289228039992,1.4593405723571777,5
